ui_name,item_id,armor_type_id,noise,stab_def,slash_def,smash_def,max_status,charisma,conspicuousness,visibility,weight,name,category
bavorsky_kabatec_barveny,43043f1f-64ad-95cb-f55c-fd7d624ba294,7,31.42857,3.795,6.8999999999999995,11.5,58,11,56.00000000000001,64.0,9.0,Gambeson (Bavarian Dyed),Body I
bavorsky_kabatec_barveny,4b0bdc51-a989-db25-bccb-9fe09655a8b0,7,0.0,3.795,6.8999999999999995,11.5,58,13,33.5,40.0,9.0,Gambeson (Bavarian Dyed),Body I
bavorsky_kabatec_prosty,4e225489-88e6-cbbc-a13f-15c04e4a6a83,7,14.285709999999998,3.795,6.8999999999999995,11.5,58,9,45.5,56.00000000000001,9.0,Gambeson (Bavarian),Body I
burgundsky_kabatec_barve,402d9c88-ef9a-8eef-7475-107459ea1794,7,31.42857,3.465,6.3,10.5,53,13,57.49999999999999,64.0,10.0,Gambeson (Aachen Red),Body I
burgundsky_kabatec_kratk,46898847-2ffc-dcda-890e-8027524c2f91,7,14.285709999999998,3.3000000000000003,6.0,10.0,50,8,45.5,56.00000000000001,10.0,Gambeson (Aachen Short),Body I
burgundsky_kabatec_prost,4f1da9ed-8bbb-af3d-18a5-98803ad18082,7,14.285709999999998,3.3000000000000003,6.0,10.0,50,9,47.0,57.99999999999999,10.0,Gambeson (Aachen),Body I
kutnohorska_prosivanice,434e3f99-d8f6-bf7b-3e26-43d95b91f693,7,14.285709999999998,2.64,4.8,8.0,40,8,45.5,56.00000000000001,12.0,Gambeson (Kuttenberg),Body I
kutnohorska_prosivanice_kra,46b1fa29-8a71-e06d-c1f0-499fc1ad86b9,7,28.285709999999998,2.64,4.8,8.0,40,8,45.5,56.00000000000001,12.0,Gambeson (Kuttenberg Short),Body I
kutnohorska_prosivanice_nab,48f4b085-973d-247d-bc22-b43c27f995b3,7,14.285709999999998,2.64,4.8,8.0,40,8,45.5,56.00000000000001,12.0,Gambeson (Kuttenberg Loose),Body I
kutnohorska_prosivanice_pul,41866b96-12d5-290a-90a6-67cf4db3ab83,7,14.285709999999998,2.64,4.8,8.0,40,7,44.5,56.00000000000001,12.0,Gambeson (Kuttenberg Split),Body I
kutnohorska_prosivanice_pul,4a60cbcc-9de1-055d-e37c-0856d8897482,7,14.285709999999998,2.64,4.8,8.0,40,9,47.0,56.00000000000001,12.0,Gambeson (Kuttenberg Split),Body I
lehka_prosivanice,4377c0a6-98d4-ebdb-eb0a-f35220fb1398,7,10.0,1.6500000000000001,3.0,5.0,25,6,47.5,61.0,13.0,Gambeson (Light),Body I
lehka_smolenice,490d57d4-3e96-3a75-96ca-54cb52c6f6ab,7,0.0,1.6500000000000001,3.0,5.0,25,7,9.499999999999996,9.000000000000002,13.0,Gambeson (Light Black),Body I
lehky_prosivany_kabat,49bccc9b-8290-8958-5df2-471f9db9b784,7,10.0,1.815,3.3000000000000003,5.5,28,6,47.5,63.0,13.0,Gambeson (Light Short),Body I
obycejna_prosivanice,45683673-edcb-4446-a995-3e76c0f11bae,7,45.42857,1.4849999999999999,2.7,4.5,23,7,50.0,63.0,14.0,Gambeson (Common),Body I
obycejna_smolenice,49ed390f-1d7d-50d8-83d8-62a35b054bbd,7,0.0,1.4849999999999999,2.7,4.5,23,6,17.5,24.0,14.0,Gambeson (Common Dark),Body I
podzbrojova_prosivanice,4e3144b5-cf35-2142-1493-a0a75820e781,7,10.0,2.31,4.2,7.0,35,7,50.0,63.0,12.0,Gambeson (Aketon),Body I
podzbrojova_prosivanice_bar,4638d719-74df-29ba-2bea-99f46ff9e1a7,7,49.71429,2.31,4.2,7.0,35,11,57.49999999999999,68.0,12.0,Gambeson (Aketon Orange),Body I
podzbrojova_prosivanice_kr,4bc9a38b-a310-3ca7-cfa5-6eed1259ad86,7,45.42857,2.31,4.2,7.0,35,7,48.5,59.0,12.0,Gambeson (Aketon Short),Body I
podzbrojova_prosivanice_tm,455ce2bd-2e97-1dc1-9e14-90927f0b4b9d,7,0.0,2.31,4.2,7.0,35,7,21.500000000000004,26.0,12.0,Gambeson (Aketon Dark),Body I
prosivana_vesta,42ed0221-fee6-22c1-a86a-70126610fa84,7,32.57143,1.32,2.4,4.0,20,9,39.5,50.0,10.0,Vest (Quilted),Body I
prosivana_vesta_barvena,465d76a9-1d09-8b19-8b7e-20a57e7e5495,7,45.42857,1.32,2.4,4.0,20,11,53.0,63.0,10.0,Vest (Dyed Quilted),Body I
prosivana_vesta_cernena,41afa317-7311-5ecb-8a91-94189c2dc2a9,7,15.42857,1.32,2.4,4.0,20,9,27.500000000000004,30.0,10.0,Vest (Dark Quilted),Body I
prosivana_vesta_pulena,4db5f5f4-b653-9e9d-0f04-dc7ed9e47fb0,7,28.285709999999998,1.32,2.4,4.0,20,10,48.5,54.0,10.0,Vest (Quilted),Body I
prosivana_vesta_pulena,4eff8951-db9e-5710-48be-5c2a9445f4be,7,32.57143,1.32,2.4,4.0,20,11,39.5,48.0,10.0,Vest (Quilted),Body I
prosivany_kabat_barveny,406b05fb-c409-f2d0-ec82-8c9e6dd422b8,7,14.285709999999998,2.475,4.5,7.5,38,14,60.5,66.0,12.0,Gambeson (Quilted Red),Body I
prosivany_kabat_kratky,4cc0f5a0-1531-68a2-ff52-4d9234617db7,7,14.285709999999998,2.475,4.5,7.5,38,8,48.0,52.0,12.0,Gambeson (Quilted Short),Body I
sasky_gambeson,40ebc815-c78f-24ea-aff7-0e4beb4136b8,7,28.285709999999998,3.63,6.6000000000000005,11.0,55,8,48.0,56.00000000000001,10.0,Gambeson (Saxon),Body I
sasky_gambeson_barveny,4025719c-da4e-cb6e-963a-c26ca4cdaa9d,7,31.42857,3.63,6.6000000000000005,11.0,55,11,61.0,62.0,10.0,Gambeson (Saxon Dyed),Body I
sasky_gambeson_barveny,43631624-d640-42c8-be81-0a236b8ed094,7,49.71429,3.63,6.6000000000000005,11.0,55,13,63.5,62.0,10.0,Gambeson (Saxon Dyed),Body I
sasky_gambeson_barveny,4dcb9bbd-ace9-131d-96ea-cd3964180185,7,10.0,3.63,6.6000000000000005,11.0,55,9,51.0,55.00000000000001,10.0,Gambeson (Saxon Dyed),Body I
sasky_gambeson_cerneny,4517b07b-ca19-07bf-6011-e2cec8868185,7,0.0,3.63,6.6000000000000005,11.0,55,11,13.0,8.000000000000002,10.0,Gambeson (Saxon Dark),Body I
sasky_gambeson_cerneny,49232ade-9c7b-55de-aaf2-418b246b9a81,7,57.199999999999996,3.63,6.6000000000000005,11.0,55,8,48.0,56.00000000000001,10.0,Gambeson (Saxon Dark),Body I
sasky_gambeson_prosty,4897feb7-a12e-ad0e-a93c-2699798d1ba7,7,14.285709999999998,2.805,5.1,8.5,43,9,45.5,56.00000000000001,11.0,Gambeson (Saxon Light),Body I
