ui_name,item_id,armor_type_id,noise,stab_def,slash_def,smash_def,max_status,charisma,conspicuousness,visibility,weight,name,category
ui_nm_apron_001,42936ec8-4b9e-13d9-624f-6762c2f383b6,1,52.85714,2.5,3.0,1.0,60,0,58.5,79.0,2.0,Apron,Body IV
ui_nm_apron_002,44041a83-3119-dfe4-e12f-5098935f409c,1,51.42856999999999,3.0,4.0,1.0,60,1,52.0,56.00000000000001,5.0,Apron (Blacksmith),Body IV
ui_nm_apron_003,41a87049-190c-d5d4-40e8-5950ec296680,1,55.71429,1.0,1.0,1.0,60,1,55.00000000000001,59.0,5.0,Apron (Leather),Body IV
ui_nm_hood_001_down,a4e01cf1-78af-4692-b6db-7c6be15cbe4c,7,19.3,1.0,2.0,2.0,45,0,50.0,0.0,0.5,Hood (Brown),Body IV
ui_nm_hood_006_down,4bcb4913-408e-a9bc-ead2-b294248a5e90,7,40.0,1.0,1.0,1.0,30,18,72.5,64.0,2.0,Hood (Chequered Red and Blue),Body IV
ui_nm_hood_006_down_A,46a124e4-481c-5880-d187-573c1d8a57b9,7,40.0,1.0,1.0,1.0,30,18,72.5,64.0,2.0,Hood (Chequered Black and Yellow),Body IV
ui_nm_hood_black,49f1d199-c8e4-5e9a-7aeb-09e3999a25a7,7,14.285709999999998,1.0,1.0,1.0,40,7,41.5,36.0,2.0,Hood (Black),Body IV
ui_nm_hood_black,4d83cddb-a7ce-dfd5-d2d0-aa7454313f8d,7,0.0,1.0,1.0,1.0,50,0,15.500000000000004,15.000000000000002,2.0,Hood (Black),Body IV
ui_nm_hood_black,4dd34997-a8f3-9f9f-ddaa-ca0ca4b07c9f,7,0.0,1.0,1.0,1.0,40,7,11.5,6.0,2.0,Hood (Black),Body IV
ui_nm_hood_black_white,4d4ed856-9d3a-e66f-2d2e-a08384f215b1,7,31.42857,1.0,1.0,1.0,40,4,60.0,52.0,2.0,Hood (Black and White),Body IV
ui_nm_hood_black_white,4f71cd89-9889-1498-ca5a-b8699c4afbaa,7,35.71429,1.0,1.0,1.0,50,4,57.99999999999999,55.00000000000001,2.0,Hood (Black and White),Body IV
ui_nm_hood_black_yellow,42f920a7-4d72-38f2-7f30-84bed084868f,7,40.0,1.0,1.0,1.0,40,7,68.5,72.0,2.0,Hood (Black and Yellow),Body IV
ui_nm_hood_black_yellow,46f60a88-47c9-9fa9-e55b-58553a841592,7,40.0,1.0,1.0,1.0,40,7,68.5,70.0,2.0,Hood (Black and Yellow),Body IV
ui_nm_hood_black_yellow,48146a0b-3476-c43f-63a0-5d9bf1ec1985,7,44.28571,1.0,1.0,1.0,40,1,71.5,77.0,2.0,Hood (Black and Yellow),Body IV
ui_nm_hood_black_yellow,4901d670-706e-e710-a3ce-4b2d4a1116ad,7,40.0,1.0,1.0,1.0,50,4,73.5,70.0,2.0,Hood (Black and Yellow),Body IV
