ui_name,item_id,armor_type_id,noise,stab_def,slash_def,smash_def,max_status,charisma,conspicuousness,visibility,weight,name,category
ui_nm_chaperon_001_black,48f4d62f-f2d7-c064-be4b-450aeea1f39a,7,14.285709999999998,1.0,1.0,1.0,30,16,30.5,30.0,2.0,Chaperon (Black),Head III
ui_nm_chaperon_001_blue,4e760438-c3b5-7acd-6329-55e19c4e8896,7,44.28571,1.0,1.0,1.0,30,16,63.5,65.0,2.0,Chaperon (Blue),Head III
ui_nm_chaperon_001_red,4498482d-a404-5646-16d0-f49eaac6d58e,7,44.28571,1.0,1.0,1.0,30,16,63.5,65.0,2.0,Chaperon (Red),Head III
ui_nm_chaperon_001_yelow,42566810-49be-e92f-5181-705bdd2eb1ae,7,48.57143,1.0,1.0,1.0,30,16,68.0,78.0,2.0,Chaperon (Yellow),Head III
ui_nm_chaperon_pavelkolin,09d799a2-2253-4a46-89cc-142affcb1ede,7,44.28571,1.0,1.0,1.0,30,18,63.5,65.0,2.0,Chaperon (Pavel),Head III
ui_nm_dvoj_klobouk,447acc02-8ee6-ff70-1cb3-ccafd3ba01b3,5,72.57143,7.3,7.3,2.92,47,4,55.00000000000001,69.0,5.0,Kettle Hat (Two-Piece),Head III
ui_nm_felt_hat_brown,c80e67a7-8dbd-4662-ae63-26a92b6ae28b,7,19.3,1.0,2.0,2.0,45,0,50.0,0.0,1.0,Felt Hat (Brown),Head III
ui_nm_hagen_helmet,42d40a4b-b727-c518-26e1-541208b7e197,5,100.0,25.0,25.0,10.0,78,15,66.5,78.0,6.0,Bascinet (Zoul),Head III
ui_nm_hagen_helmet,4f27f774-be02-ea89-51d6-ad7ac35587a2,5,100.0,25.0,25.0,10.0,78,15,66.5,78.0,6.0,Bascinet (Zoul),Head III
ui_nm_hat_001,00000000-0000-0000-0000-000000000025,7,27.142860000000002,1.0,1.0,1.0,40,3,44.5,49.0,1.0,Felt Hat (Brown),Head III
ui_nm_hat_001_gray,48641946-e22a-7925-8120-9f8825df12ac,7,27.142860000000002,1.0,1.0,1.0,40,3,46.0,55.00000000000001,1.0,Felt Hat (Grey),Head III
ui_nm_hat_001_green,43dd7f89-93d5-801a-7dc6-824c367284b4,7,27.142860000000002,1.0,1.0,1.0,40,3,44.5,49.0,1.0,Felt Hat (Green),Head III
ui_nm_hat_001_olive,415cb852-5910-50cf-9802-4375257dd3b5,7,27.142860000000002,1.0,1.0,1.0,40,3,44.5,49.0,1.0,Felt Hat (Olive),Head III
ui_nm_hat_001_red,43dc25b5-3962-a772-7eeb-dd7820574395,7,27.142860000000002,1.0,1.0,1.0,40,6,47.5,55.00000000000001,1.0,Felt Hat (Red),Head III
