ui_name,item_id,armor_type_id,noise,stab_def,slash_def,smash_def,max_status,charisma,conspicuousness,visibility,weight,name,category
ui_nm_brig_sas_rycht,bb1bf9c5-002b-40e4-a2fd-3fdaf639c6d1,3,34.0,13.0,13.0,5.2,48,10,41.0,43.0,9.0,Brigandine (Sasau Bailiff),Body III
ui_nm_brigandine_001,4d887670-13cb-746d-5e27-5d234e146cb3,3,100.0,12.0,14.0,8.0,45,4,100.0,0.0,6.0,Brigandine (Short-Sleeved),Body III
ui_nm_brigandine_009_bonus,4bef1aa8-1d05-6ecc-7797-083fa321cf80,3,76.85714,22.0,22.0,8.8,72,20,77.5,77.0,4.0,Brigandine (Warhorse),Body III
ui_nm_burg_br_col,4cbcab6e-332c-535c-e8ed-860581ced9ad,3,60.57143000000001,19.8,19.8,7.92,66,16,65.0,65.0,7.0,Brigandine (Dyed Aachen),Body III
ui_nm_burg_br_col,4e4f2711-dc79-d2da-1377-719d6525b6b5,3,60.57143000000001,19.8,19.8,7.92,66,16,66.5,67.0,7.0,Brigandine (Dyed Aachen),Body III
ui_nm_burg_br_col,4eb0f0ad-008d-8b4c-4ca7-6626eb428481,3,60.57143000000001,19.8,19.8,7.92,66,16,65.0,65.0,7.0,Brigandine (Dyed Aachen),Body III
ui_nm_burg_br_col,4f564b29-350f-df8b-dc0b-9f4bf1d75c9c,3,64.85714,19.8,19.8,7.92,66,16,71.0,74.0,7.0,Brigandine (Dyed Aachen),Body III
ui_nm_burg_br_dark,418864f6-f9c0-ead7-dd4e-6f3aacb0288c,3,42.28571,19.8,19.8,7.92,66,15,48.0,38.0,7.0,Brigandine (Dark Aachen),Body III
ui_nm_burg_br_dark,4c9e2e36-d746-b6ca-fe1a-5405cd465895,3,39.14286,19.8,19.8,7.92,66,15,45.5,38.0,7.0,Brigandine (Dark Aachen),Body III
ui_nm_hagen_kyrys,4484294f-244c-3701-8ede-f7a0d10ffbb5,5,97.14286,26.0,26.0,10.5,85,18,70.5,60.0,3.5,Cuirass (Zoul),Body III
